week,entropy_bits,n_units
2026-W15,2.7981591056165933,8
2026-W16,2.767138144746788,8
2026-W17,2.7774400077284946,8
2026-W18,2.761579496885007,8
2026-W19,2.660263749562922,8
2026-W20,2.604555548258951,8
2026-W21,2.5595006098136137,8
2026-W22,4.130938796566425,24
2026-W23,3.65829415579391,16
2026-W24,3.7094752876278085,16
2026-W25,3.8584137948015815,16
