week,species,n_teams,weight,win_rate,usage
2026-W15,incineroar,1335,10918.941630363464,,0.5352434341582155
2026-W15,sneasler,1064,8773.327836036682,,0.43006605208858745
2026-W15,garchomp,886,7269.530655860901,,0.3563503391337291
2026-W15,sinistcha,851,6953.715517044067,,0.34086917024558216
2026-W15,kingambit,642,5311.680940628052,,0.26037709917860064
2026-W15,basculegion,543,4468.828238487244,,0.21906069782255083
2026-W15,whimsicott,492,4020.879779815674,,0.1971023909223179
2026-W15,pelipper,412,3345.3496084213257,,0.16398809275543935
2026-W15,rotom-wash,387,3178.567220687866,,0.1558124672241769
2026-W15,charizard,324,2658.6706714630127,,0.1303272852501019
2026-W15,tyranitar,319,2610.6377449035645,,0.12797272475928875
2026-W15,archaludon,321,2603.221360206604,,0.1276091756765461
2026-W15,dragonite,291,2370.139430999756,,0.11618356535164294
2026-W15,farigiraf,288,2353.19091129303,,0.1153527537035158
2026-W15,maushold,258,2110.907808303833,,0.10347610443910084
2026-W15,venusaur,249,2043.8703260421753,,0.10018994599648484
2026-W15,gengar,232,1893.7890310287476,,0.09283300331235902
2026-W15,aerodactyl,217,1803.7705640792847,,0.08842032349239332
2026-W15,floette,199,1651.9009590148926,,0.08097571835476045
2026-W15,floette-mega,198,1647.2673206329346,,0.08074857871026324
2026-W15,excadrill,199,1626.3402585983276,,0.07972274004114746
2026-W15,milotic,187,1534.4846458435059,,0.07522000385279021
2026-W15,corviknight,177,1443.6360530853271,,0.07076663150018885
2026-W15,talonflame,176,1432.489686012268,,0.07022023973507657
2026-W15,froslass,169,1385.1587409973145,,0.06790009018126729
2026-W15,primarina,161,1316.7040758132935,,0.06454446183214618
2026-W15,kommo-o,159,1306.8716297149658,,0.06406247810203723
2026-W15,gardevoir,160,1304.467526435852,,0.0639446296384457
2026-W15,palafin,157,1277.844326019287,,0.06263956787498519
2026-W15,clefable,120,988.0196876525879,,0.04843244597667981
2026-W15,politoed,118,966.8089809417725,,0.04739270312566489
2026-W15,torkoal,118,966.2970104217529,,0.04736760647540339
2026-W15,gyarados,109,887.1157264709473,,0.04348616230456617
2026-W15,arcanine-hisui,104,846.9704141616821,,0.04151825043607404
2026-W15,ninetales-alola,103,839.5071725845337,,0.04115240444230144
2026-W15,aegislash,98,800.5551013946533,,0.03924298491639517
2026-W15,dragapult,95,775.7521753311157,,0.038027152487499015
2026-W15,charizard-mega-y,93,765.5075025558472,,0.037524961522138994
2026-W15,delphox,88,726.5737390518188,,0.03561643943382133
2026-W15,sylveon,81,656.8875875473022,,0.03220044397316005
2026-W15,gengar-mega,72,596.690881729126,,0.02924961845930848
2026-W15,froslass-mega,72,594.4785299301147,,0.02914116959910247
2026-W15,glimmora,71,578.8094348907471,,0.028373074986736323
