week,prev_week,centroid_drift
2026-W16,2026-W15,0.5186811685562134
2026-W17,2026-W16,0.5234362483024597
2026-W18,2026-W17,0.840570867061615
2026-W19,2026-W18,0.5182878375053406
2026-W20,2026-W19,0.3818102478981018
2026-W21,2026-W20,0.31779244542121887
2026-W22,2026-W21,7.473299503326416
2026-W23,2026-W22,7.44010591506958
2026-W24,2026-W23,0.7156597375869751
2026-W25,2026-W24,1.6054614782333374
