week,prev_week,novelty
2026-W16,2026-W15,5.84002161026001
2026-W17,2026-W16,5.884883403778076
2026-W18,2026-W17,6.0579681396484375
2026-W19,2026-W18,6.11435079574585
2026-W20,2026-W19,6.162613868713379
2026-W21,2026-W20,6.234814167022705
2026-W22,2026-W21,12.328811645507812
2026-W23,2026-W22,13.121603965759277
2026-W24,2026-W23,10.823494911193848
2026-W25,2026-W24,11.066034317016602
