week,cluster_id,n_teams,weight,win_rate,share
2026-W15,0,124,124.0,0.5882352941176471,0.053959965187119235
2026-W15,3,276,276.0,0.5352112676056338,0.12010443864229765
2026-W15,8,156,156.0,0.5909090909090909,0.06788511749347259
2026-W15,11,699,699.0,0.6145454545454545,0.304177545691906
2026-W15,14,151,151.0,0.40816326530612246,0.06570931244560488
2026-W15,16,183,183.0,0.7092198581560284,0.07963446475195822
2026-W15,19,511,511.0,0.6153846153846154,0.22236727589208008
2026-W15,20,198,198.0,0.5986842105263158,0.08616187989556136
2026-W16,0,1348,1348.0,0.6410480349344978,0.1199501690692294
2026-W16,3,1208,1208.0,0.5194805194805194,0.10749243637657946
2026-W16,8,741,741.0,0.6285211267605634,0.06593699946609717
2026-W16,11,2813,2813.0,0.5864113087095303,0.25031144331731625
2026-W16,14,586,586.0,0.45526315789473687,0.05214450969923474
2026-W16,16,996,996.0,0.5733882030178327,0.08862786972770956
2026-W16,19,2361,2361.0,0.6241025641025642,0.21009076348104644
2026-W16,20,1185,1185.0,0.552570093457944,0.10544580886278697
2026-W17,0,2573,2573.0,0.6259860788863109,0.17460640608034744
2026-W17,3,1262,1262.0,0.5211111111111111,0.08564060803474484
2026-W17,8,922,922.0,0.5841313269493844,0.06256786102062975
2026-W17,11,3565,3565.0,0.5763888888888888,0.24192453854505971
2026-W17,14,670,670.0,0.42342342342342343,0.04546688382193268
2026-W17,16,1340,1340.0,0.5776105362182502,0.09093376764386536
2026-W17,19,3020,3020.0,0.5945403452428744,0.20494028230184583
2026-W17,20,1384,1384.0,0.5412935323383085,0.09391965255157438
2026-W18,0,3044,3044.0,0.6038461538461538,0.27052968361180235
2026-W18,3,882,882.0,0.5249221183800623,0.07838606469960896
2026-W18,8,649,649.0,0.5910852713178295,0.05767863490934945
2026-W18,11,2266,2266.0,0.5797665369649806,0.20138642019196587
2026-W18,14,462,462.0,0.43934426229508194,0.04105936722360469
2026-W18,16,1092,1092.0,0.6012578616352201,0.09704941343761109
2026-W18,19,1948,1948.0,0.5915136162127929,0.17312477781727692
2026-W18,20,909,909.0,0.5094890510948905,0.08078563810878066
2026-W19,0,3614,3614.0,0.5956521739130435,0.30947079979448533
2026-W19,3,822,822.0,0.4824120603015075,0.07038876519952046
2026-W19,8,771,771.0,0.5697674418604651,0.06602157903750643
2026-W19,11,1758,1758.0,0.5589273112208892,0.15053947593766057
2026-W19,14,446,446.0,0.3851132686084142,0.03819147114231889
2026-W19,16,1464,1464.0,0.5925266903914591,0.12536393218016784
2026-W19,19,1999,1999.0,0.5825879546809779,0.17117657133070732
2026-W19,20,804,804.0,0.5408163265306123,0.06884740537763316
2026-W20,0,4808,4808.0,0.6019021739130435,0.2926710494278062
2026-W20,3,1214,1214.0,0.5075653370013755,0.0738982225468712
2026-W20,8,1390,1390.0,0.5724946695095949,0.08461163866569273
2026-W20,11,2798,2798.0,0.5661801711122295,0.17031896761626492
2026-W20,14,722,722.0,0.3852040816326531,0.04394935476016557
2026-W20,16,2057,2057.0,0.5997171145685997,0.12521305088872656
2026-W20,19,2402,2402.0,0.5909342177998894,0.1462137813489165
2026-W20,20,1037,1037.0,0.5378006872852233,0.06312393474555637
2026-W21,0,6690,6690.0,0.5923409512044472,0.2911987464089841
2026-W21,3,1778,1778.0,0.5239107332624867,0.07739183424741011
2026-W21,8,1706,1706.0,0.5640243902439024,0.07425785670758249
2026-W21,11,4030,4030.0,0.5632006184770004,0.17541568729868548
2026-W21,14,1112,1112.0,0.45585585585585586,0.048402542004004526
2026-W21,16,2428,2428.0,0.5894804361770366,0.10568468703752068
2026-W21,19,3606,3606.0,0.5727482678983834,0.1569600417863672
2026-W21,20,1624,1624.0,0.5463917525773195,0.07068860450944546
2026-W22,0,4002,4002.0,0.6094008606421715,0.16539923954372623
2026-W22,1,431,431.0,0.5349794238683128,0.017812861630021493
2026-W22,2,1125,1125.0,0.6008010680907877,0.04649528847743429
2026-W22,3,895,895.0,0.4883720930232558,0.03698958505538105
2026-W22,4,470,470.0,0.5358649789029536,0.019424698297239213
2026-W22,5,350,350.0,0.43529411764705883,0.014465200859646223
2026-W22,6,579,579.0,0.592896174863388,0.023929575136386178
2026-W22,7,362,362.0,0.5053763440860215,0.014961150603405521
2026-W22,8,906,906.0,0.558974358974359,0.03744420565382708
